rank	name	year	rating	votes	imglink	imdbLink
119	The Great Escape	1963	8.2	114888	"http://ia.media-imdb.com/images/M/MV5BMjI2MTQwNDI3Nl5BMl5BanBnXkFtZTcwNDk4MTkzNA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0057115/?ref_=chttp_tt_119
120	Scarface	1983	8.2	360489	"http://ia.media-imdb.com/images/M/MV5BMjAzOTM4MzEwNl5BMl5BanBnXkFtZTgwMzU1OTc1MDE@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0086250/?ref_=chttp_tt_120
121	Ikiru	1952	8.2	28114	"http://ia.media-imdb.com/images/M/MV5BMTcyMDU0MTQzNV5BMl5BanBnXkFtZTcwOTk2NDQyMQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0044741/?ref_=chttp_tt_121
122	Heat	1995	8.2	310121	"http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0113277/?ref_=chttp_tt_122
123	The Seventh Seal	1957	8.2	77116	"http://ia.media-imdb.com/images/M/MV5BMTUzODUyNjkxM15BMl5BanBnXkFtZTcwODA5MTM1Mg@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0050976/?ref_=chttp_tt_123
124	The General	1926	8.2	35844	"http://ia.media-imdb.com/images/M/MV5BODQxMzMyNTY5Nl5BMl5BanBnXkFtZTcwMDMyNTk3OA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0017925/?ref_=chttp_tt_124
125	Wild Strawberries	1957	8.2	43301	"http://ia.media-imdb.com/images/M/MV5BMTQyNzQwMjg0Ml5BMl5BanBnXkFtZTYwMTgyMDg4._V1_SY50_CR0,0,34,50_.jpg"	/title/tt0050986/?ref_=chttp_tt_125
126	The Elephant Man	1980	8.2	115227	"http://ia.media-imdb.com/images/M/MV5BMTExNTk0MjIzNDZeQTJeQWpwZ15BbWU3MDY5ODI5Nzg@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0080678/?ref_=chttp_tt_126
127	Ran	1985	8.2	56697	"http://ia.media-imdb.com/images/M/MV5BMjA0Nzg0NzUzNV5BMl5BanBnXkFtZTcwNzkzNjk3OA@@._V1_SY50_CR2,0,34,50_.jpg"	/title/tt0089881/?ref_=chttp_tt_127
128	Blade Runner	1982	8.2	338267	"http://ia.media-imdb.com/images/M/MV5BMTA4MDQxNTk2NDheQTJeQWpwZ15BbWU3MDE2NjIyODk@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0083658/?ref_=chttp_tt_128
129	Rebecca	1940	8.2	63073	"http://ia.media-imdb.com/images/M/MV5BMTM5ODA4ODMzM15BMl5BanBnXkFtZTcwOTA2NTEwNA@@._V1_SX34_CR0,0,34,50_.jpg"	/title/tt0032976/?ref_=chttp_tt_129
130	The Gold Rush	1925	8.2	43116	"http://ia.media-imdb.com/images/M/MV5BOTE4MzEwMTkzMV5BMl5BanBnXkFtZTcwNTg4NzU2OQ@@._V1_SY50_CR1,0,34,50_.jpg"	/title/tt0015864/?ref_=chttp_tt_130
131	Gran Torino	2008	8.2	385544	"http://ia.media-imdb.com/images/M/MV5BMTQyMTczMTAxMl5BMl5BanBnXkFtZTcwOTc1ODE0Mg@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt1205489/?ref_=chttp_tt_131
132	The Hunt	2012	8.2	56672	"http://ia.media-imdb.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SY50_CR0,0,34,50_.jpg"	/title/tt2106476/?ref_=chttp_tt_132
