rank,name,imdbLink,year,rating,votes
70,Lawrence of Arabia,http://www.imdb.com/title/tt0056172/?ref_=chttp_tt_70,1962,8.4,"8.4 based on 131,211 votes"
71,To Kill a Mockingbird,http://www.imdb.com/title/tt0056592/?ref_=chttp_tt_71,1962,8.4,"8.4 based on 144,094 votes"
72,Reservoir Dogs,http://www.imdb.com/title/tt0105236/?ref_=chttp_tt_72,1992,8.4,"8.4 based on 419,871 votes"
73,Das Boot,http://www.imdb.com/title/tt0082096/?ref_=chttp_tt_73,1981,8.3,"8.3 based on 119,327 votes"
74,Cinema Paradiso,http://www.imdb.com/title/tt0095765/?ref_=chttp_tt_74,1988,8.3,"8.3 based on 93,971 votes"
75,The Treasure of the Sierra Madre,http://www.imdb.com/title/tt0040897/?ref_=chttp_tt_75,1948,8.3,"8.3 based on 55,806 votes"
76,The Lion King,http://www.imdb.com/title/tt0110357/?ref_=chttp_tt_76,1994,8.3,"8.3 based on 365,197 votes"
77,Once Upon a Time in America,http://www.imdb.com/title/tt0087843/?ref_=chttp_tt_77,1984,8.3,"8.3 based on 147,360 votes"
78,Requiem for a Dream,http://www.imdb.com/title/tt0180093/?ref_=chttp_tt_78,2000,8.3,"8.3 based on 381,534 votes"
79,Star Wars: Episode VI - Return of the Jedi,http://www.imdb.com/title/tt0086190/?ref_=chttp_tt_79,1983,8.3,"8.3 based on 412,662 votes"
80,The Third Man,http://www.imdb.com/title/tt0041959/?ref_=chttp_tt_80,1949,8.3,"8.3 based on 81,495 votes"
81,Braveheart,http://www.imdb.com/title/tt0112573/?ref_=chttp_tt_81,1995,8.3,"8.3 based on 483,605 votes"
82,Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/?ref_=chttp_tt_82,2004,8.3,"8.3 based on 440,607 votes"
83,Full Metal Jacket,http://www.imdb.com/title/tt0093058/?ref_=chttp_tt_83,1987,8.3,"8.3 based on 308,101 votes"
84,Oldboy,http://www.imdb.com/title/tt0364569/?ref_=chttp_tt_84,2003,8.3,"8.3 based on 219,906 votes"
85,L.A. Confidential,http://www.imdb.com/title/tt0119488/?ref_=chttp_tt_85,1997,8.3,"8.3 based on 298,793 votes"
86,Metropolis,http://www.imdb.com/title/tt0017136/?ref_=chttp_tt_86,1927,8.3,"8.3 based on 75,492 votes"
87,Singin' in the Rain,http://www.imdb.com/title/tt0045152/?ref_=chttp_tt_87,1952,8.3,"8.3 based on 100,665 votes"
88,Chinatown,http://www.imdb.com/title/tt0071315/?ref_=chttp_tt_88,1974,8.3,"8.3 based on 148,918 votes"
89,Some Like It Hot,http://www.imdb.com/title/tt0053291/?ref_=chttp_tt_89,1959,8.3,"8.3 based on 120,976 votes"
90,Rashomon,http://www.imdb.com/title/tt0042876/?ref_=chttp_tt_90,1950,8.3,"8.3 based on 69,365 votes"
91,Bicycle Thieves,http://www.imdb.com/title/tt0040522/?ref_=chttp_tt_91,1948,8.3,"8.3 based on 58,020 votes"
92,Amadeus,http://www.imdb.com/title/tt0086879/?ref_=chttp_tt_92,1984,8.3,"8.3 based on 184,471 votes"
93,All About Eve,http://www.imdb.com/title/tt0042192/?ref_=chttp_tt_93,1950,8.3,"8.3 based on 57,734 votes"
94,Princess Mononoke,http://www.imdb.com/title/tt0119698/?ref_=chttp_tt_94,1997,8.3,"8.3 based on 136,897 votes"
95,Monty Python and the Holy Grail,http://www.imdb.com/title/tt0071853/?ref_=chttp_tt_95,1975,8.3,"8.3 based on 266,679 votes"
96,2001: A Space Odyssey,http://www.imdb.com/title/tt0062622/?ref_=chttp_tt_96,1968,8.3,"8.3 based on 276,639 votes"
97,The Sting,http://www.imdb.com/title/tt0070735/?ref_=chttp_tt_97,1973,8.3,"8.3 based on 118,674 votes"
98,Witness for the Prosecution,http://www.imdb.com/title/tt0051201/?ref_=chttp_tt_98,1957,8.3,"8.3 based on 36,668 votes"
99,The Apartment,http://www.imdb.com/title/tt0053604/?ref_=chttp_tt_99,1960,8.3,"8.3 based on 71,474 votes"
100,Unforgiven,http://www.imdb.com/title/tt0105695/?ref_=chttp_tt_100,1992,8.3,"8.3 based on 191,808 votes"
101,Grave of the Fireflies,http://www.imdb.com/title/tt0095327/?ref_=chttp_tt_101,1988,8.3,"8.3 based on 76,542 votes"
102,Indiana Jones and the Last Crusade,http://www.imdb.com/title/tt0097576/?ref_=chttp_tt_102,1989,8.3,"8.3 based on 338,249 votes"
103,Raging Bull,http://www.imdb.com/title/tt0081398/?ref_=chttp_tt_103,1980,8.3,"8.3 based on 161,395 votes"
